;dataset105_7sites_15samples;site;laboratory_job_re6;laboratory_re6_sample_bis;MinC;T10_HC_PYR;T30_HC_PYR;T50_HC_PYR;T70_HC_PYR;T90_HC_PYR;T10_CO_PYR;T30_CO_PYR;T50_CO_PYR;T70_CO_PYR;T90_CO_PYR;T10_CO2_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T10_CO_OX;T30_CO_OX;T50_CO_OX;T70_CO_OX;T90_CO_OX;T10_CO2_OX;T30_CO2_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;PseudoS1_PC;PseudoS1_TOCre6;S2;S2_PC;HI;OIre6;HI_OIre6;PC;PC_TOCre6;TOCre6;I_index;R_index;TLHC_index;soc_ea_g_kg;retained_soc_g_kg;defined_retained_soc_g_kg;cpsoc_sample_proportion;sd_cpsoc_sample_proportion
ASK16;yes;askov;2018-50;no;0.7;319;379;428;466;510;306;358;402;452;519;281;336;383;434;502;319;364;399;453;550;328;373;409;457;538;0.0490744775659611;0.0163581591886537;0.0047186997659578;2.14924988326436;0.716416627754787;249;164.441558441558;1.51421576370242;3;0.288461538461538;10.4;0.118463993176387;0.619030127171563;0.612747576372197;11.789668471939;11.1;tocre6plusminc;0.459459459459459;0.0819362187251752
ASK23;yes;askov;2018-50;no;0.6;322;385;432;467;509;304;354;400;453;521;278;332;381;434;502;317;361;394;444;544;329;374;410;457;538;0.0537835019321804;0.0173495167523163;0.0049799538826093;2.24406694763354;0.723892563752755;250;155.184223184223;1.61098850688719;3.1;0.287037037037037;10.8;0.0823530371500283;0.63934473137208;0.599880665583681;11.519405124603;11.4;tocre6plusminc;0.447368421052632;0.0796477039269429
25Z47;yes;askov;2018-49;no;0.8;316;380;430;467;508;303;353;399;453;521;280;334;382;435;503;329;372;405;456;563;334;379;414;459;541;0.0611286576546766;0.0179790169572578;0.00526971186678247;2.39518560218949;0.704466353585144;249;160.019704433498;1.55605836719615;3.4;0.293103448275862;11.6;0.110350593037176;0.626894260658088;0.604556813994614;12.427899048996;12.4;tocre6plusminc;0.411290322580645;0.0728797569794324
10Z46;yes;askov;2018-49;no;2.6;310;368;417;458;503;309;369;418;473;535;280;336;384;436;506;362;402;425;457;560;358;401;426;458;542;0.0606790892099953;0.0173368826314272;0.00466762224692272;2.23626002141134;0.638931434688954;208;168.983016983017;1.23089292470677;3.5;0.269230769230769;13;0.173202336772527;0.572343860673428;0.660312408192332;14.8;15.6;tocre6plusminc;0.326923076923077;0.0573751852083849
ASK12;yes;askov;2018-50;no;0.9;310;370;420;461;506;305;357;402;453;520;278;333;379;430;500;323;368;400;449;552;331;376;410;456;537;0.0796207300860421;0.0169405808693707;0.00513682129587368;3.44574359784656;0.733136935712034;268;156.467532467532;1.71281540504649;4.7;0.303225806451613;15.5;0.171061034570746;0.582659461839769;0.642987113214627;17.3;16.4;tocre6plusminc;0.310975609756098;0.0544896983052095
ASK13;yes;askov;2018-50;no;0.7;314;371;421;461;505;306;357;403;456;520;279;335;383;436;505;322;367;402;454;555;329;374;409;456;538;0.0567162607702292;0.0166812531677145;0.00484754365557515;2.50779205314257;0.737585897983109;258;159.268287268287;1.61990817145789;3.4;0.290598290598291;11.7;0.162393466894992;0.585393681907639;0.64347153226139;13.4;12.4;tocre6plusminc;0.411290322580645;0.0728797569794324
ASK26;yes;askov;2018-50;no;0.7;313;372;422;461;505;303;354;400;453;521;277;330;377;429;499;314;360;395;466;576;329;374;409;456;537;0.0674791930267147;0.0156928355876081;0.00481994235905105;3.20094975485847;0.744406919734528;276;152.972170686456;1.80424974530636;4.3;0.307142857142857;14;0.150396364502965;0.591478519049;0.639691924687884;13.845795857109;14.7;tocre6plusminc;0.346938775510204;0.0610159573562463
ASK28;yes;askov;2018-50;no;0.8;313;372;423;463;506;304;356;402;455;522;278;331;378;431;501;318;362;394;444;548;329;373;408;453;535;0.0651272903447442;0.0155064977011296;0.00465194931033887;3.11917529282312;0.742660784005505;269;145.751391465677;1.8456084521385;4.2;0.3;14;0.164441794299778;0.59178627033982;0.632990529009953;15.15983356511;14.8;tocre6plusminc;0.344594594594595;0.060588420627193
ASK3;yes;askov;2018-50;no;0.8;306;365;417;460;504;304;356;402;456;523;277;330;375;427;498;320;363;393;433;535;329;373;405;445;526;0.0803601597213515;0.0160720319442703;0.00502250998258447;3.77755112989689;0.755510225979378;284;147.805194805195;1.92144802741411;5;0.3125;16;0.207752032516091;0.564625036538914;0.652993484240657;16.924008963679;16.8;tocre6plusminc;0.303571428571429;0.0531544253929126
ASK31;yes;askov;2018-50;no;0.9;318;380;429;465;506;302;353;399;453;521;276;330;379;432;502;321;366;401;453;550;329;375;410;457;537;0.0607346387927339;0.0189795746227293;0.00537474679581716;2.35879679506979;0.737123998459309;251;152.523158257672;1.64565173490547;3.2;0.283185840707965;11.3;0.101726659844115;0.623981727150886;0.614486118870966;11.214576902552;12.2;tocre6plusminc;0.418032786885246;0.0741378763018707
ASK33;yes;askov;2018-50;no;0.9;315;374;423;462;505;302;353;398;453;522;276;329;375;428;499;316;361;395;453;563;326;372;408;456;537;0.0654237870902468;0.0167753300231402;0.00495634750683688;2.8432805546945;0.729046296075513;260;160.900432900433;1.61590615583297;3.9;0.295454545454545;13.2;0.155071949592368;0.593392935970374;0.635915656094662;14.963385948338;14.1;tocre6plusminc;0.361702127659574;0.0637157021155973
ASK34;yes;askov;2018-50;no;0.6;319;378;427;464;507;302;353;399;454;522;277;331;378;431;501;316;358;390;442;551;326;371;406;452;535;0.0610991795009905;0.017970346912056;0.00545528388401701;2.43899738131893;0.717352170976156;262;163.128014842301;1.60610058458249;3.4;0.303571428571429;11.2;0.118614589235692;0.61512222143;0.620323111742492;12.355843353815;11.8;tocre6plusminc;0.432203389830508;0.0767920044024187
